,district,rooms,size,level,max_levels,price
1796,Olmzor,2,57.0,5,5,33000
1797,Sergeli,5,125.0,6,9,51000
1798,Chilonzor,2,50.0,4,4,34000
1799,Yunusobod,4,90.0,4,5,55000
1800,Sergeli,5,310.0,9,9,57500
1801,Uchtepa,2,56.0,6,6,37500
1802,Olmzor,2,59.0,5,5,33000
1803,Shayhontohur,3,95.0,3,6,39000
1804,Uchtepa,4,96.0,5,9,49900
1805,Chilonzor,2,48.0,1,4,39000
1806,Yashnobod,2,45.82,1,5,29000
1807,Chilonzor,2,51.0,5,5,32500
1808,Mirzo Ulugbek,3,70.0,4,4,75000
1809,Chilonzor,1,37.0,1,4,26500
1810,Olmzor,2,69.0,3,9,40795
1811,Yunusobod,4,84.0,3,4,73000
1812,Olmzor,3,69.33,2,4,46000
1813,Olmzor,4,86.0,1,5,57000
1814,Chilonzor,2,48.0,2,4,44000
1815,Chilonzor,4,138.0,1,3,135000
1816,Mirzo Ulugbek,1,42.0,2,4,62000
1817,Yakkasaroy,3,105.0,1,8,112000
1818,Yunusobod,3,80.0,1,10,90000
1819,Yakkasaroy,3,80.0,1,10,90000
1820,Yunusobod,2,54.0,2,4,58000
1821,Yakkasaroy,3,75.0,3,9,53000
1822,Shayhontohur,2,55.0,3,4,43000
1823,Yakkasaroy,1,27.0,3,3,19500
1824,Olmzor,2,50.0,1,9,37000
1825,Olmzor,2,58.0,2,9,34000
1826,Mirzo Ulugbek,2,45.0,3,3,26000
1827,Yunusobod,1,45.0,5,5,24000
1828,Yashnobod,2,58.0,3,3,37000
1829,Mirzo Ulugbek,3,74.0,4,4,51000
1830,Mirzo Ulugbek,3,80.0,1,4,98000
1831,Yunusobod,4,110.0,3,9,88000
1832,Mirobod,3,70.0,2,4,60000
1833,Uchtepa,4,80.0,5,5,45000
1834,Uchtepa,3,100.0,4,12,54000
1835,Yakkasaroy,4,110.0,3,10,73000
1836,Yunusobod,1,46.0,7,9,39500
1837,Uchtepa,3,78.0,2,4,56000
1838,Mirzo Ulugbek,2,48.0,3,3,33000
1839,Yunusobod,4,99.0,1,4,72000
1840,Yakkasaroy,1,29.0,9,9,15714
1841,Yakkasaroy,2,65.0,2,9,52500
1842,Mirzo Ulugbek,2,50.0,1,5,52000
1843,Mirobod,5,300.0,3,8,425000
1844,Uchtepa,4,80.0,1,4,58000
1845,Uchtepa,2,54.0,5,5,30000
1846,Uchtepa,3,90.0,2,5,65000
1847,Uchtepa,2,50.0,4,4,33000
1848,Uchtepa,4,91.0,2,4,65000
1849,Mirobod,2,61.0,2,4,39000
1850,Yunusobod,3,101.0,8,9,125000
1851,Yashnobod,3,74.0,8,9,59500
1852,Shayhontohur,3,72.0,2,9,58999
1853,Mirzo Ulugbek,3,90.0,2,9,51000
1854,Yakkasaroy,3,65.5,2,4,60800
1855,Mirzo Ulugbek,3,73.0,5,5,39000
1856,Mirzo Ulugbek,2,50.0,1,4,30000
1857,Mirzo Ulugbek,2,40.0,1,3,26000
1858,Mirzo Ulugbek,2,40.0,5,5,31500
1859,Yakkasaroy,1,44.0,2,9,27000
1860,Yunusobod,2,60.0,4,5,37000
1861,Yashnobod,1,59.0,3,6,23600
1862,Uchtepa,2,47.0,5,5,32000
1863,Uchtepa,4,80.0,1,5,70000
1864,Uchtepa,4,80.0,5,5,43000
1865,Yunusobod,3,78.0,4,4,55000
1866,Mirzo Ulugbek,2,60.0,6,9,34000
1867,Chilonzor,2,42.0,4,5,28500
1868,Mirzo Ulugbek,2,42.0,2,5,33500
1869,Mirzo Ulugbek,2,55.0,5,5,35000
1870,Uchtepa,1,42.0,2,5,28000
1871,Mirzo Ulugbek,2,55.0,4,4,35000
1872,Yunusobod,2,50.0,4,4,33500
1873,Sergeli,1,44.0,5,7,29000
1874,Shayhontohur,3,70.0,2,4,70000
1875,Yakkasaroy,2,36.0,1,4,30000
1876,Mirzo Ulugbek,4,138.0,5,9,295000
1877,Mirzo Ulugbek,2,52.0,1,5,31000
1878,Yakkasaroy,3,75.0,6,8,115000
1879,Yashnobod,3,75.0,5,9,64700
1880,Mirzo Ulugbek,2,50.0,3,4,40000
1881,Shayhontohur,3,78.0,6,9,55000
1882,Mirobod,3,61.0,4,4,60000
1883,Uchtepa,2,48.0,5,5,27500
1884,Uchtepa,1,42.0,3,5,32000
1885,Uchtepa,4,80.0,5,5,48000
1886,Uchtepa,2,42.0,1,4,32000
1887,Yakkasaroy,2,98.0,6,8,95000
1888,Olmzor,3,70.0,3,4,41000
1889,Yashnobod,3,75.0,4,9,62000
1890,Mirzo Ulugbek,3,130.0,3,9,155000
1891,Mirobod,4,120.0,1,4,135000
1892,Sergeli,3,56.0,1,7,45000
1893,Yunusobod,3,70.0,1,4,60000
1894,Chilonzor,3,98.0,8,10,60000
1895,Olmzor,5,100.0,4,4,54000
1896,Mirobod,4,121.0,5,9,115000
1897,Yunusobod,2,58.0,4,5,33500
1898,Mirobod,4,92.0,2,5,55000
1899,Sergeli,3,80.0,8,9,41000
1900,Mirzo Ulugbek,3,72.0,4,4,41000
1901,Bektemir,1,41.0,2,2,19000
1902,Yunusobod,4,200.0,4,5,220000
1903,Yunusobod,5,280.0,6,8,320000
1904,Olmzor,4,83.0,5,5,40000
1905,Yakkasaroy,3,72.0,3,4,95000
1906,Mirzo Ulugbek,3,60.0,4,4,29000
1907,Yakkasaroy,3,76.0,5,9,43500
1908,Yakkasaroy,1,38.0,2,5,27500
1909,Chilonzor,1,27.0,3,3,19500
1910,Yakkasaroy,2,58.0,5,5,41000
1911,Mirzo Ulugbek,4,80.0,5,5,47000
1912,Mirzo Ulugbek,3,80.0,4,4,88000
1913,Mirzo Ulugbek,1,36.0,4,4,21000
1914,Yunusobod,5,254.0,1,8,285000
1915,Yunusobod,6,252.0,1,8,285000
1916,Uchtepa,1,40.0,2,4,26500
1917,Yunusobod,2,52.0,3,4,75000
1918,Mirobod,2,65.0,5,9,71000
1919,Chilonzor,2,48.0,3,4,31000
1920,Yunusobod,2,85.0,5,9,105000
1921,Yashnobod,2,59.0,3,6,25408
1922,Chilonzor,1,32.0,3,4,30000
1923,Mirobod,3,65.0,2,2,32500
1924,Mirobod,2,68.0,5,5,44500
1925,Shayhontohur,3,72.0,8,9,55000
1926,Yunusobod,2,65.0,3,4,76000
1927,Olmzor,3,183.0,3,4,90000
1928,Uchtepa,2,50.0,1,4,40000
1929,Olmzor,4,130.0,4,4,80000
1930,Yashnobod,1,42.0,4,8,14800
1931,Olmzor,3,96.0,4,5,145000
1932,Mirzo Ulugbek,3,88.0,2,4,132000
1933,Chilonzor,2,84.0,3,7,69000
1934,Mirzo Ulugbek,3,85.0,4,4,84000
1935,Yunusobod,2,60.0,6,9,55000
1936,Chilonzor,3,77.0,1,4,48000
1937,Yunusobod,6,252.0,1,8,285000
1938,Chilonzor,3,60.0,4,4,57500
1939,Chilonzor,4,135.0,4,4,95000
1940,Uchtepa,4,97.0,1,9,82000
1941,Yakkasaroy,2,82.0,6,9,49200
1942,Uchtepa,1,40.0,1,4,25500
1943,Mirobod,4,130.0,3,9,105000
1944,Yakkasaroy,2,64.0,1,5,42000
1945,Uchtepa,3,72.0,4,9,43500
1946,Mirzo Ulugbek,1,26.0,1,3,17000
1947,Mirzo Ulugbek,3,100.0,5,7,70000
1948,Yashnobod,3,72.0,4,4,80000
1949,Mirobod,2,62.0,9,9,46000
1950,Mirobod,3,75.0,3,4,75000
1951,Mirzo Ulugbek,1,35.0,4,4,29000
1952,Mirzo Ulugbek,1,41.0,1,5,28000
1953,Yakkasaroy,1,39.0,1,5,26700
1954,Yunusobod,4,94.0,1,9,66000
1955,Olmzor,3,70.0,4,4,37500
1956,Mirzo Ulugbek,3,80.0,3,4,115000
1957,Chilonzor,2,50.0,2,4,46000
1958,Mirzo Ulugbek,4,90.0,2,4,123000
1959,Yunusobod,5,254.0,1,8,285000
1960,Mirzo Ulugbek,2,42.0,2,4,81000
1961,Mirzo Ulugbek,3,90.0,4,7,55500
1962,Mirobod,4,121.0,2,8,140000
1963,Uchtepa,4,80.0,3,5,52000
1964,Chilonzor,1,30.0,1,3,25000
1965,Mirzo Ulugbek,3,70.0,3,4,100000
1966,Mirzo Ulugbek,3,105.0,5,5,100000
1967,Mirzo Ulugbek,3,72.0,4,5,67000
1968,Mirobod,5,300.0,3,8,425000
1969,Yunusobod,3,70.0,1,4,72500
1970,Yakkasaroy,3,105.0,7,10,135000
1971,Mirzo Ulugbek,2,55.0,4,4,60000
1972,Chilonzor,3,72.0,2,4,54000
1973,Mirzo Ulugbek,1,40.0,3,4,60000
1974,Chilonzor,4,132.0,3,8,88308
1975,Shayhontohur,3,68.41,4,9,60000
1976,Chilonzor,3,97.0,4,8,64505
1977,Mirzo Ulugbek,2,59.0,2,4,57500
1978,Chilonzor,3,97.0,3,8,64505
1979,Mirzo Ulugbek,2,62.0,9,9,56500
1980,Chilonzor,3,97.0,7,8,67997
1981,Yakkasaroy,2,46.0,3,5,46500
1982,Yashnobod,1,45.0,2,5,26000
1983,Yunusobod,5,140.0,7,7,77000
1984,Yakkasaroy,1,39.0,5,5,26700
1985,Shayhontohur,4,125.0,1,5,118000
1986,Mirobod,2,43.0,4,4,20800
1987,Yashnobod,3,72.0,8,9,64000
1988,Shayhontohur,5,150.0,2,2,138000
1989,Shayhontohur,2,75.0,4,7,47000
1990,Chilonzor,3,97.0,7,8,67997
1991,Yunusobod,1,42.0,3,4,48500
1992,Yakkasaroy,5,116.0,3,9,88000
1993,Chilonzor,3,97.0,2,8,66445
1994,Shayhontohur,3,68.41,4,9,60000
1995,Mirzo Ulugbek,2,43.0,5,5,49000
1996,Chilonzor,4,132.0,1,8,96096
1997,Chilonzor,4,132.0,1,8,96096
1998,Chilonzor,3,97.0,1,8,72944
1999,Mirobod,3,110.0,5,9,105000
2000,Chilonzor,3,97.0,1,8,72944
2001,Sergeli,4,96.0,8,9,46000
2002,Chilonzor,3,97.0,1,8,72750
2003,Yashnobod,1,37.0,2,8,13067
2004,Chilonzor,3,97.0,8,8,59849
2005,Chilonzor,3,97.0,8,8,59849
2006,Uchtepa,2,57.0,1,4,40000
2007,Mirzo Ulugbek,3,126.0,5,6,141922
2008,Yunusobod,2,55.0,5,5,29500
2009,Mirzo Ulugbek,2,57.0,5,5,45000
2010,Chilonzor,3,97.0,8,8,59849
2011,Chilonzor,3,97.0,5,8,61692
2012,Yunusobod,3,68.0,3,4,63000
2013,Chilonzor,1,24.0,3,3,20000
2014,Mirzo Ulugbek,3,80.0,2,4,92000
2015,Yunusobod,3,100.0,2,4,88000
2016,Yunusobod,4,82.0,1,2,104000
2017,Mirobod,2,65.0,2,4,85000
2018,Yunusobod,4,88.0,4,4,78000
2019,Yunusobod,4,90.0,4,5,150000
2020,Yakkasaroy,4,130.0,1,5,236000
2021,Sergeli,3,105.6,9,9,45474
2022,Yakkasaroy,3,70.0,3,3,55000
2023,Yakkasaroy,1,43.0,5,16,38500
2024,Yakkasaroy,5,115.0,4,5,70500
2025,Yashnobod,3,80.0,2,4,74000
2026,Chilonzor,2,42.0,2,4,32500
2027,Uchtepa,2,42.0,1,4,34000
2028,Chilonzor,2,40.0,3,4,38500
2029,Mirobod,3,83.0,7,9,65000
2030,Uchtepa,3,115.0,6,9,80000
2031,Yunusobod,4,97.0,2,9,80000
2032,Chilonzor,6,120.0,1,4,84000
2033,Mirobod,4,200.0,6,9,162000
2034,Yashnobod,3,75.0,5,9,79000
2035,Mirzo Ulugbek,3,76.0,2,5,57000
2036,Chilonzor,3,54.0,4,4,37000
2037,Shayhontohur,3,72.0,8,9,42500
2038,Olmzor,1,40.0,5,5,23500
2039,Olmzor,2,60.0,1,4,40000
2040,Mirzo Ulugbek,2,63.0,4,9,55500
2041,Mirobod,5,120.0,8,9,115000
2042,Mirobod,4,100.0,2,16,98000
2043,Sergeli,5,120.0,9,9,59000
2044,Mirobod,3,105.0,7,7,95000
2045,Mirobod,3,94.0,2,7,96000
2046,Mirzo Ulugbek,3,75.0,4,9,66000
2047,Yakkasaroy,2,83.0,5,7,77000
2048,Mirobod,3,75.0,6,9,103000
2049,Yakkasaroy,4,105.0,1,9,67000
2050,Mirobod,2,40.0,1,1,23500
2051,Mirzo Ulugbek,2,60.0,2,4,78000
2052,Mirobod,1,38.0,2,9,38000
2053,Yakkasaroy,5,215.0,8,9,165000
2054,Yunusobod,3,105.0,3,4,69000
2055,Mirobod,2,90.0,9,12,65000
2056,Mirobod,3,75.0,9,9,56000
2057,Mirobod,3,125.0,4,9,130000
2058,Mirobod,2,75.0,3,9,91000
2059,Mirobod,2,80.0,1,9,88000
2060,Mirobod,3,75.0,9,9,80000
2061,Yakkasaroy,3,80.0,11,16,48000
2062,Mirobod,2,53.0,3,4,54000
2063,Yashnobod,3,140.0,2,4,140000
2064,Mirobod,5,120.0,13,16,115000
2065,Yakkasaroy,2,70.0,1,9,56000
2066,Yakkasaroy,4,150.0,4,16,64000
2067,Yunusobod,4,86.0,4,4,63000
2068,Yashnobod,3,93.0,2,13,33776
2069,Yunusobod,4,110.0,3,9,88000
2070,Yunusobod,1,65.0,2,4,75500
2071,Yunusobod,2,51.0,3,4,50000
2072,Yunusobod,2,60.0,2,9,44500
2073,Chilonzor,3,95.0,7,7,40858
2074,Mirzo Ulugbek,3,80.0,5,5,36000
2075,Chilonzor,3,68.0,3,5,42000
2076,Mirzo Ulugbek,3,86.0,3,4,93000
2077,Mirzo Ulugbek,5,101.0,6,9,86000
2078,Mirzo Ulugbek,2,60.0,1,5,71000
2079,Yunusobod,1,40.0,2,4,62500
2080,Yashnobod,3,70.0,2,5,47000
2081,Yunusobod,3,125.0,5,9,110000
2082,Yakkasaroy,1,44.0,2,9,27000
2083,Yunusobod,2,60.0,9,9,49999
2084,Yashnobod,4,94.0,5,9,65000
2085,Yunusobod,4,90.0,2,4,78000
2086,Yunusobod,3,74.0,4,4,64000
2087,Mirzo Ulugbek,3,70.0,4,4,32500
2088,Mirzo Ulugbek,4,100.0,3,4,88000
2089,Mirzo Ulugbek,1,38.51,3,4,21000
2090,Mirzo Ulugbek,2,50.0,4,4,26500
2091,Yunusobod,4,86.0,2,4,74000
2092,Yakkasaroy,5,116.0,3,9,88000
2093,Mirzo Ulugbek,2,51.0,4,4,25500
2094,Yakkasaroy,3,76.0,5,9,43500
2095,Mirzo Ulugbek,1,34.0,4,4,20500
2096,Mirzo Ulugbek,3,70.0,2,4,36000
2097,Yangihayot,2,28.0,1,4,23000
2098,Yakkasaroy,2,52.0,4,5,32500
2099,Shayhontohur,3,72.0,2,9,58500
2100,Mirzo Ulugbek,3,110.0,4,7,158000
2101,Yashnobod,2,58.0,5,5,31000
2102,Yakkasaroy,5,113.0,4,5,70000
2103,Mirobod,2,50.0,5,6,60000
2104,Yashnobod,2,62.0,7,9,33500
2105,Sergeli,2,43.0,2,7,31000
2106,Yunusobod,1,34.0,3,4,24500
2107,Mirzo Ulugbek,3,80.0,7,8,70000
2108,Yashnobod,3,75.0,4,9,53000
2109,Mirobod,3,67.0,2,4,60000
2110,Mirzo Ulugbek,1,35.0,3,5,32500
2111,Mirzo Ulugbek,3,88.0,5,9,105000
2112,Chilonzor,4,80.0,3,5,45000
2113,Yunusobod,5,105.0,3,5,95000
2114,Yakkasaroy,3,90.0,5,5,45000
2115,Chilonzor,3,91.0,3,4,49000
2116,Mirzo Ulugbek,4,95.0,7,9,50000
2117,Chilonzor,1,24.0,3,3,20000
2118,Mirobod,3,85.0,5,9,74000
2119,Uchtepa,4,92.0,3,4,62000
2120,Yakkasaroy,1,44.0,2,9,27000
2121,Sergeli,2,62.0,2,9,37000
2122,Mirobod,2,55.0,3,4,51000
2123,Mirobod,2,62.0,3,9,53000
2124,Chilonzor,3,67.0,4,4,35500
2125,Uchtepa,2,64.0,3,5,38000
2126,Mirobod,1,42.0,5,6,60000
2127,Yashnobod,4,100.0,3,4,145000
2128,Uchtepa,2,63.0,9,9,33000
2129,Mirzo Ulugbek,1,40.0,3,3,32500
2130,Mirzo Ulugbek,1,40.0,3,3,32500
2131,Mirzo Ulugbek,1,18.0,4,4,12000
2132,Chilonzor,4,100.0,4,9,95000
2133,Mirzo Ulugbek,1,41.0,3,4,31000
2134,Mirzo Ulugbek,1,39.0,1,4,26000
2135,Mirzo Ulugbek,1,24.0,2,4,13500
2136,Mirzo Ulugbek,1,33.0,3,5,25500
2137,Mirzo Ulugbek,2,45.0,2,4,33505
2138,Yakkasaroy,5,116.0,3,9,88000
2139,Mirzo Ulugbek,2,60.0,1,5,46000
2140,Mirobod,3,180.0,2,7,225000
2141,Yakkasaroy,2,42.0,5,9,23500
2142,Yakkasaroy,2,43.0,5,9,25500
2143,Yakkasaroy,2,54.0,2,9,29500
2144,Yakkasaroy,2,64.0,1,5,42000
2145,Yakkasaroy,4,96.0,2,5,84000
2146,Chilonzor,1,30.0,1,4,24500
2147,Yakkasaroy,4,110.0,4,8,71800
2148,Yakkasaroy,2,36.0,2,5,37000
2149,Mirobod,3,100.0,3,7,130000
2150,Sergeli,2,50.0,1,4,37000
2151,Mirzo Ulugbek,2,65.0,5,5,37000
2152,Chilonzor,3,88.0,6,8,55000
2153,Mirzo Ulugbek,2,64.0,5,5,34000
2154,Mirobod,4,100.0,7,9,105000
2155,Mirzo Ulugbek,3,69.0,4,4,47000
2156,Mirzo Ulugbek,2,59.0,3,5,44000
2157,Mirzo Ulugbek,3,62.0,3,4,37000
2158,Yakkasaroy,2,36.0,2,4,29500
2159,Yakkasaroy,2,51.0,4,4,33500
2160,Mirobod,1,38.0,2,9,37000
2161,Yakkasaroy,2,59.0,1,2,33500
2162,Yakkasaroy,2,42.0,2,2,34500
2163,Yakkasaroy,2,45.0,1,2,40000
2164,Mirobod,2,52.0,8,8,87000
2165,Yakkasaroy,2,53.0,1,9,36500
2166,Mirobod,4,120.0,2,8,145000
2167,Yakkasaroy,3,106.0,4,6,138000
2168,Yakkasaroy,2,42.0,1,2,37000
2169,Yakkasaroy,4,100.0,7,9,60000
2170,Yakkasaroy,1,40.0,2,5,27500
2171,Mirobod,4,135.0,5,5,215000
2172,Mirobod,3,105.0,2,8,172000
2173,Yunusobod,3,70.0,4,4,64500
2174,Mirobod,4,98.0,1,4,64000
2175,Yakkasaroy,2,56.0,4,4,37000
2176,Mirobod,2,50.0,3,5,38500
2177,Mirzo Ulugbek,3,74.0,8,9,50000
2178,Yakkasaroy,4,131.0,7,8,85000
2179,Mirzo Ulugbek,2,60.0,3,9,53000
2180,Mirobod,4,147.0,3,12,136500
2181,Yunusobod,1,42.0,4,4,25000
2182,Mirzo Ulugbek,3,65.0,4,5,41500
2183,Uchtepa,1,42.0,4,5,25500
2184,Mirzo Ulugbek,3,74.0,2,9,58000
2185,Uchtepa,2,58.0,2,5,33800
2186,Mirzo Ulugbek,2,50.0,1,4,36500
2187,Chilonzor,3,90.0,5,9,39500
2188,Mirobod,2,62.0,9,9,57000
2189,Mirzo Ulugbek,2,64.0,1,4,65000
2190,Chilonzor,3,67.0,4,4,35500
2191,Mirobod,4,120.0,1,4,135000
2192,Yakkasaroy,2,54.0,1,2,37000
2193,Yashnobod,3,63.0,4,5,43500
2194,Yakkasaroy,2,55.0,4,5,37000
2195,Yakkasaroy,2,60.0,8,9,37000
2196,Yakkasaroy,2,48.0,1,4,37500
2197,Yunusobod,2,60.0,2,4,75000
2198,Mirzo Ulugbek,2,47.0,3,9,46500
2199,Mirzo Ulugbek,2,40.0,2,5,40000
2200,Yunusobod,2,55.0,5,5,31500
2201,Mirzo Ulugbek,2,50.0,2,4,32000
2202,Mirzo Ulugbek,2,55.0,4,4,32000
2203,Mirzo Ulugbek,2,60.0,2,4,42000
2204,Mirzo Ulugbek,1,24.0,3,4,15000
2205,Yunusobod,3,81.0,4,4,61500
2206,Mirzo Ulugbek,2,65.0,3,9,60000
2207,Yakkasaroy,2,52.0,9,12,38500
2208,Olmzor,3,113.0,3,4,80000
2209,Mirzo Ulugbek,2,60.0,1,4,39000
2210,Chilonzor,2,51.0,1,4,36500
2211,Uchtepa,2,50.0,1,4,36500
2212,Mirobod,4,130.0,3,9,105000
2213,Mirzo Ulugbek,2,55.0,5,5,33000
2214,Mirobod,3,113.0,5,5,65000
2215,Chilonzor,2,50.0,5,5,42000
2216,Chilonzor,2,51.0,1,4,39500
2217,Chilonzor,5,100.0,2,4,68000
2218,Uchtepa,2,54.0,3,5,35000
2219,Mirzo Ulugbek,3,75.0,3,4,67000
2220,Mirobod,5,235.0,6,7,375000
2221,Yakkasaroy,2,48.0,1,4,39000
2222,Yunusobod,3,125.0,3,9,82000
2223,Yakkasaroy,2,53.0,9,12,39000
2224,Yunusobod,2,60.0,2,9,55000
2225,Yakkasaroy,2,53.0,5,8,43000
2226,Yunusobod,4,160.0,3,9,105000
2227,Yakkasaroy,2,42.0,2,2,39000
2228,Yakkasaroy,2,40.0,1,4,40000
2229,Yakkasaroy,2,55.0,3,9,40000
2230,Mirobod,2,50.0,4,4,47000
2231,Yakkasaroy,2,50.0,2,2,41000
2232,Chilonzor,1,30.0,2,4,25700
2233,Mirzo Ulugbek,1,26.0,3,4,22500
2234,Sergeli,2,52.0,2,5,36500
2235,Mirzo Ulugbek,3,80.0,1,4,110000
2236,Mirzo Ulugbek,1,40.0,5,5,26500
2237,Mirzo Ulugbek,1,40.0,4,4,25000
2238,Shayhontohur,4,100.0,5,9,76000
2239,Mirzo Ulugbek,2,50.0,3,4,42000
2240,Yakkasaroy,2,52.0,4,4,41000
2241,Mirobod,2,65.0,2,4,66000
2242,Mirzo Ulugbek,4,140.0,4,5,105000
2243,Yakkasaroy,2,48.0,2,3,42000
2244,Mirobod,1,45.0,1,4,42000
2245,Shayhontohur,2,74.0,8,9,65000
2246,Chilonzor,2,55.0,2,2,44000
2247,Mirzo Ulugbek,1,40.0,1,4,24000
2248,Mirzo Ulugbek,1,36.0,2,4,25000
2249,Mirzo Ulugbek,1,18.0,4,4,12000
2250,Mirzo Ulugbek,1,31.0,2,3,20000
2251,Yunusobod,3,72.0,3,4,75000
2252,Yunusobod,3,75.0,1,4,107000
2253,Yunusobod,1,43.0,7,9,38000
2254,Yunusobod,4,279.0,1,3,150000
2255,Yashnobod,1,52.0,4,5,57000
2256,Yakkasaroy,2,50.0,7,8,45000
2257,Yakkasaroy,2,53.0,4,5,46000
2258,Mirobod,3,85.0,2,5,78000
2259,Yakkasaroy,2,55.0,2,4,146000
2260,Mirobod,3,80.0,3,5,72000
2261,Mirobod,3,75.0,4,5,55000
2262,Yunusobod,1,43.0,1,4,47500
2263,Yunusobod,3,75.0,1,4,95000
2264,Mirzo Ulugbek,3,110.0,5,5,105000
2265,Yashnobod,3,86.0,4,9,89000
2266,Yakkasaroy,2,69.0,4,9,47000
2267,Olmzor,3,70.0,6,7,57000
2268,Mirzo Ulugbek,2,60.0,3,5,45000
2269,Yashnobod,3,80.0,1,5,78000
2270,Mirobod,4,100.0,4,4,68000
2271,Yakkasaroy,2,68.0,9,9,47000
2272,Yakkasaroy,2,66.0,2,9,47000
2273,Mirobod,5,110.0,8,9,83000
2274,Yashnobod,3,75.0,6,9,82000
2275,Yakkasaroy,2,50.0,2,3,47000
2276,Yakkasaroy,2,56.0,4,4,47000
2277,Mirobod,4,145.0,5,9,120000
2278,Yakkasaroy,2,60.0,5,9,48000
2279,Yakkasaroy,2,51.0,4,4,49500
2280,Yakkasaroy,2,65.0,2,8,75000
2281,Yakkasaroy,2,51.0,5,5,51000
2282,Mirzo Ulugbek,3,75.0,1,4,90000
2283,Mirobod,3,80.0,4,4,88000
2284,Mirobod,2,65.0,9,9,55000
2285,Yashnobod,2,65.0,5,5,68000
2286,Yunusobod,3,75.0,4,4,55000
2287,Yunusobod,1,42.0,1,4,50000
2288,Mirobod,1,42.0,1,9,46000
2289,Mirobod,2,68.0,5,5,44000
2290,Mirobod,4,120.0,1,2,130000
2291,Yashnobod,2,65.0,1,5,71000
2292,Yashnobod,4,95.0,4,5,91000
2293,Yashnobod,4,100.0,1,5,98000
2294,Mirobod,2,50.0,4,4,47000
2295,Yakkasaroy,1,30.0,4,5,33500
2296,Yakkasaroy,2,50.0,2,5,52000
2297,Mirobod,4,120.0,7,8,95000
2298,Yashnobod,2,65.0,5,5,68000
2299,Yakkasaroy,3,70.0,2,7,75000
2300,Yashnobod,2,52.0,1,4,40000
2301,Yashnobod,3,80.0,4,5,90000
2302,Mirzo Ulugbek,3,75.0,6,7,69000
2303,Yunusobod,3,131.0,4,8,125000
2304,Mirzo Ulugbek,2,62.0,2,4,73000
2305,Yashnobod,3,86.0,4,9,89000
2306,Yakkasaroy,2,61.0,1,5,54000
2307,Mirzo Ulugbek,2,50.0,3,4,33500
2308,Mirobod,3,130.0,2,8,110000
2309,Mirzo Ulugbek,2,64.0,5,5,34000
2310,Uchtepa,4,90.0,5,5,42000
2311,Mirzo Ulugbek,1,33.0,4,4,23000
2312,Mirzo Ulugbek,2,51.0,3,4,35000
2313,Mirzo Ulugbek,1,19.0,4,4,20500
2314,Mirzo Ulugbek,2,38.0,2,4,35500
2315,Mirzo Ulugbek,1,30.0,5,5,23500
2316,Mirzo Ulugbek,2,52.0,1,2,31000
2317,Yakkasaroy,2,52.0,1,3,54000
2318,Yakkasaroy,2,57.0,3,4,54998
2319,Yashnobod,2,58.0,4,9,39000
2320,Mirzo Ulugbek,5,100.0,4,4,48000
2321,Mirzo Ulugbek,2,60.0,6,9,38500
2322,Mirzo Ulugbek,2,52.0,5,5,32000
2323,Yakkasaroy,1,39.0,1,5,26700
2324,Shayhontohur,4,93.0,9,9,56000
2325,Yunusobod,2,63.0,3,4,45000
2326,Chilonzor,1,27.0,3,3,19500
2327,Yunusobod,3,70.0,3,4,57000
2328,Mirzo Ulugbek,2,63.0,4,9,46000
2329,Mirzo Ulugbek,1,23.0,2,3,17500
2330,Yakkasaroy,4,210.0,5,5,250000
2331,Mirzo Ulugbek,3,75.0,3,7,65000
2332,Mirzo Ulugbek,3,80.0,1,4,92000
2333,Yunusobod,1,28.0,3,4,26500
2334,Sergeli,3,90.0,3,9,45000
2335,Mirzo Ulugbek,2,50.0,2,4,48000
2336,Yakkasaroy,3,79.0,8,9,74000
2337,Mirobod,5,110.0,5,9,135000
2338,Mirobod,3,76.0,7,16,63000
2339,Mirobod,4,110.0,9,9,85000
2340,Yashnobod,3,87.0,8,9,43000
2341,Sergeli,5,108.0,4,5,46500
2342,Mirobod,4,150.0,6,9,145000
2343,Yakkasaroy,2,65.0,2,9,48500
2344,Chilonzor,2,43.0,2,4,36000
2345,Mirzo Ulugbek,6,347.0,3,9,240000
2346,Yakkasaroy,5,280.0,1,8,280000
2347,Yunusobod,1,40.0,3,5,30000
2348,Mirobod,3,100.0,7,9,90000
2349,Mirobod,3,105.0,7,8,93000
2350,Shayhontohur,1,43.0,3,4,38500
2351,Olmzor,2,53.0,2,4,23500
2352,Mirobod,3,80.0,2,4,80000
2353,Sergeli,2,59.0,2,7,25000
2354,Yakkasaroy,3,75.0,5,9,47000
2355,Olmzor,1,42.0,4,5,22800
2356,Mirzo Ulugbek,3,83.0,5,8,110000
2357,Mirobod,3,80.0,8,9,53000
2358,Mirobod,2,60.0,8,9,32000
2359,Mirobod,2,60.0,9,9,35000
2360,Yunusobod,1,25.0,3,4,23501
2361,Mirobod,2,60.0,5,8,42000
2362,Sergeli,2,73.0,3,7,35200
2363,Yakkasaroy,4,190.0,7,8,200000
2364,Yakkasaroy,2,100.0,8,8,120000
2365,Shayhontohur,2,46.0,5,9,24500
2366,Yunusobod,3,60.0,3,4,33200
2367,Mirzo Ulugbek,3,80.0,7,9,90000
2368,Olmzor,3,70.0,2,4,55000
2369,Yakkasaroy,3,90.0,3,4,120000
2370,Mirzo Ulugbek,3,70.0,9,9,45000
